date,open,high,low,close,volume
2022-10-09 02:00:00,1311.79,1312.75,1307.21,1308.59,3396.5378
2022-10-09 03:00:00,1308.65,1311.28,1307.99,1310.64,2714.034
2022-10-09 04:00:00,1310.48,1313.37,1308.57,1313.24,2711.0495
2022-10-09 05:00:00,1313.25,1316.14,1312.37,1314.83,2142.3077
2022-10-09 06:00:00,1314.67,1318.03,1313.55,1317.22,2480.3367
2022-10-09 07:00:00,1317.22,1318.15,1315.02,1315.19,1990.9533
2022-10-09 08:00:00,1315.07,1318.12,1313.62,1315.35,2652.0545
2022-10-09 09:00:00,1315.31,1318.2,1314.83,1317.44,2402.3143
2022-10-09 10:00:00,1317.45,1326.84,1315.87,1322.47,4527.2998
2022-10-09 11:00:00,1322.49,1328.31,1322.3,1323.08,3790.6888
2022-10-09 12:00:00,1323.12,1329.33,1323.06,1326.53,3744.5566
2022-10-09 13:00:00,1326.48,1328.1,1321.88,1322.16,2639.859
2022-10-09 14:00:00,1322.15,1326.35,1321.08,1324.79,3391.9674
2022-10-09 15:00:00,1324.82,1327.84,1323.9,1326.7,2863.4205
2022-10-09 16:00:00,1326.74,1327.91,1322.13,1325.74,3723.5878
2022-10-09 17:00:00,1325.76,1326.46,1323.03,1324.67,2187.892
2022-10-09 18:00:00,1324.54,1326.65,1322.23,1325.91,2653.8597
2022-10-09 19:00:00,1325.9,1326.78,1309.98,1320.21,8900.7956
2022-10-09 20:00:00,1320.07,1321.37,1317.09,1321.12,2815.362
2022-10-09 21:00:00,1320.98,1323.92,1317.88,1321.62,2610.4087
2022-10-09 22:00:00,1321.49,1321.93,1316.14,1316.59,16833.5364
2022-10-09 23:00:00,1316.68,1323.81,1314.29,1323.41,9631.5043
2022-10-10 00:00:00,1323.27,1334.78,1320.45,1333.34,12026.1143
2022-10-10 01:00:00,1333.33,1338.41,1330.53,1331.05,9621.773
2022-10-10 02:00:00,1331.2,1331.31,1322.7,1324.5,5357.9997
